Time_s,Gate_V,Inductor_Current_A,Output_Voltage_V,Switching_Node_V,Diode_Current_A,Load_Current_A
5.4e-05,0.0,2.4520798182158487,0.1852738318593942,0.8841646089241884,2.447963982824773,0.0077197429941414
5.41e-05,0.0,2.456194544383989,0.1863849046208586,0.8852738318593942,2.4520798182158487,0.0077660376925357
5.42e-05,0.0,2.4603081594793688,0.1874978266693547,0.8863849046208586,2.456194544383989,0.0078124094445564
5.43e-05,0.0,2.4644206616527,0.1886125974648251,0.8874978266693547,2.4603081594793688,0.007858858227701
5.44e-05,0.0,2.4685320490552347,0.1897292164663819,0.8886125974648251,2.4644206616527,0.0079053840194325
5.45e-05,0.0,2.4726423198387684,0.1908476831323073,0.8897292164663819,2.4685320490552347,0.0079519867971794
5.46e-05,0.0,2.476751472155636,0.1919679969200535,0.8908476831323073,2.4726423198387684,0.0079986665383355
5.47e-05,0.0,2.480859504158716,0.1930901572862431,0.8919679969200535,2.476751472155636,0.0080454232202601
5.48e-05,0.0,2.4849664140014296,0.1942141636866697,0.8930901572862431,2.480859504158716,0.0080922568202779
5.49e-05,0.0,2.489072199837743,0.1953400155762975,0.8942141636866697,2.4849664140014296,0.008139167315679
5.5e-05,0.0,2.493176859822167,0.1964677124092621,0.8953400155762975,2.489072199837743,0.0081861546837192
5.51e-05,0.0,2.497280392109757,0.1975972536388704,0.896467712409262,2.493176859822167,0.0082332189016196
5.52e-05,0.0,2.5013827948561187,0.1987286387176014,0.8975972536388704,2.497280392109757,0.0082803599465667
5.53e-05,0.0,2.505484066217401,0.1998618670971058,0.8987286387176014,2.5013827948561187,0.0083275777957127
5.54e-05,0.0,2.509584204350304,0.2009969382282065,0.8998618670971057,2.505484066217401,0.0083748724261752
5.55e-05,0.0,2.513683207412076,0.2021338515608993,0.9009969382282064,2.509584204350304,0.0084222438150374
5.56e-05,0.0,2.517781073560515,0.2032726065443525,0.9021338515608992,2.513683207412076,0.008469691939348
5.57e-05,0.0,2.52187780095397,0.2044132026269076,0.9032726065443524,2.517781073560515,0.0085172167761211
5.58e-05,0.0,2.5259733877513435,0.2055556392560793,0.9044132026269076,2.52187780095397,0.0085648183023366
5.59e-05,0.0,2.5300678321120875,0.2066999158785561,0.9055556392560792,2.5259733877513435,0.0086124964949398
5.6e-05,0.0,2.5341611321962088,0.2078460319402003,0.906699915878556,2.5300678321120875,0.0086602513308416
5.61e-05,0.0,2.5382532861642684,0.2089939868860482,0.9078460319402004,2.5341611321962088,0.0087080827869186
5.62e-05,0.0,2.5423442921773822,0.2101437801603106,0.9089939868860482,2.5382532861642684,0.0087559908400129
5.63e-05,0.0,2.5464341483972217,0.2112954112063731,0.9101437801603106,2.5423442921773822,0.0088039754669322
5.64e-05,0.0,2.550522852986016,0.2124488794667959,0.911295411206373,2.5464341483972217,0.0088520366444498
5.65e-05,0.0,2.554610404106549,0.2136041843833148,0.912448879466796,2.550522852986016,0.0089001743493047
5.66e-05,0.0,2.5586967999221657,0.2147613253968408,0.9136041843833148,2.554610404106549,0.0089483885582017
5.67e-05,0.0,2.562782038596769,0.2159203019474608,0.9147613253968409,2.5586967999221657,0.0089966792478108
5.68e-05,0.0,2.566866118294821,0.2170811134744376,0.9159203019474608,2.562782038596769,0.0090450463947682
5.69e-05,0.0,2.5709490371813466,0.2182437594162104,0.9170811134744375,2.566866118294821,0.0090934899756754
5.7e-05,0.0,2.5750307934219303,0.2194082392103948,0.9182437594162104,2.5709490371813466,0.0091420099670997
5.71e-05,0.0,2.57911138518272,0.2205745522937833,0.9194082392103948,2.5750307934219303,0.0091906063455743
5.72e-05,0.0,2.5831908106304264,0.2217426981023457,0.9205745522937834,2.57911138518272,0.0092392790875977
5.73e-05,0.0,2.5872690679323243,0.2229126760712288,0.9217426981023455,2.5831908106304264,0.0092880281696345
5.74e-05,0.0,2.591346155256253,0.2240844856347573,0.9229126760712288,2.5872690679323243,0.0093368535681148
5.75e-05,0.0,2.595422070770618,0.2252581262264337,0.9240844856347572,2.591346155256253,0.0093857552594347
5.76e-05,0.0,2.599496812644392,0.2264335972789388,0.9252581262264336,2.595422070770618,0.0094347332199557
5.77e-05,0.0,2.6035703790471127,0.2276108982241317,0.9264335972789388,2.599496812644392,0.0094837874260054
5.78e-05,0.0,2.6076427681488887,0.2287900284930504,0.9276108982241316,2.6035703790471127,0.0095329178538771
5.79e-05,0.0,2.611713978120396,0.2299709875159118,0.9287900284930504,2.6076427681488887,0.0095821244798296
5.8e-05,0.0,2.61578400713288,0.231153774722112,0.9299709875159118,2.611713978120396,0.009631407280088
5.81e-05,0.0,2.6198528533581578,0.2323383895402269,0.931153774722112,2.61578400713288,0.0096807662308427
5.82e-05,0.0,2.6239205149686176,0.2335248313980121,0.932338389540227,2.6198528533581578,0.0097302013082505
5.83e-05,0.0,2.62798699013722,0.2347130997224032,0.933524831398012,2.6239205149686176,0.0097797124884334
5.84e-05,0.0,2.632052277037497,0.2359031939395162,0.9347130997224032,2.62798699013722,0.0098292997474798
5.85e-05,0.0,2.636116373843558,0.2370951134746481,0.9359031939395164,2.632052277037497,0.0098789630614436
5.86e-05,0.0,2.6401792787300837,0.2382888577522763,0.937095113474648,2.636116373843558,0.0099287024063448
